Feature,Model,Metric,WeightedPearsonR,N_valid
Random Forest__Bias,Random Forest,NRMSE,-0.018228005089066242,944
Random Forest__Bias,Random Forest,MAE,-0.5667742523443269,950
Random Forest__Bias,Random Forest,R2,-0.0426007438726455,950
Random Forest__Bias,XGBoost,NRMSE,-0.03584346908668941,944
Random Forest__Bias,XGBoost,MAE,-0.5687077353131522,950
Random Forest__Bias,XGBoost,R2,-0.023995439682254385,950
Random Forest__Regime Accuracy,Persistence,NRMSE,0.08364133252864737,944
Random Forest__Regime Accuracy,Persistence,MAE,0.013218405005099295,950
Random Forest__Regime Accuracy,Persistence,R2,0.003632030903194462,950
Random Forest__Regime Accuracy,Random Forest,NRMSE,0.1270055874449758,944
Random Forest__Regime Accuracy,Random Forest,MAE,0.040378455149902855,950
Random Forest__Regime Accuracy,Random Forest,R2,-0.08152770339861777,950
Random Forest__Regime Accuracy,XGBoost,NRMSE,0.14428459317017756,944
Random Forest__Regime Accuracy,XGBoost,MAE,0.032425446681680424,950
Random Forest__Regime Accuracy,XGBoost,R2,-0.10532393320314791,950
Random Forest__Regime Acc Low,Persistence,NRMSE,0.15080664790780296,724
Random Forest__Regime Acc Low,Persistence,MAE,0.020616359805022775,724
Random Forest__Regime Acc Low,Persistence,R2,-0.06610842693626143,724
Random Forest__Regime Acc Low,Random Forest,NRMSE,0.17219358039090366,724
Random Forest__Regime Acc Low,Random Forest,MAE,-0.005158135794719955,724
Random Forest__Regime Acc Low,Random Forest,R2,-0.11590340984651873,724
Random Forest__Regime Acc Low,XGBoost,NRMSE,0.1722853790338417,724
Random Forest__Regime Acc Low,XGBoost,MAE,-0.01537698555167967,724
Random Forest__Regime Acc Low,XGBoost,R2,-0.12215787434469909,724
Random Forest__Regime Acc Moderate,Persistence,NRMSE,0.16069180058361687,462
Random Forest__Regime Acc Moderate,Persistence,MAE,-0.06323473647457475,464
Random Forest__Regime Acc Moderate,Persistence,R2,-0.15268617362020379,464
Random Forest__Regime Acc Moderate,Random Forest,NRMSE,-0.1702518536759499,462
Random Forest__Regime Acc Moderate,Random Forest,MAE,-0.2575733140307671,464
Random Forest__Regime Acc Moderate,Random Forest,R2,0.09522527589223048,464
Random Forest__Regime Acc Moderate,XGBoost,NRMSE,-0.17061945098023226,462
Random Forest__Regime Acc Moderate,XGBoost,MAE,-0.26549532064537035,464
Random Forest__Regime Acc Moderate,XGBoost,R2,0.0780658960835961,464
Random Forest__Regime Acc High,Persistence,NRMSE,0.2501154634234627,420
Random Forest__Regime Acc High,Persistence,MAE,0.028941127666876083,424
Random Forest__Regime Acc High,Persistence,R2,-0.0327648704122685,424
Random Forest__Regime Acc High,Random Forest,NRMSE,0.09567002367341107,420
Random Forest__Regime Acc High,Random Forest,MAE,0.08124102051840812,424
Random Forest__Regime Acc High,Random Forest,R2,-0.008847594103839965,424
Random Forest__Regime Acc High,XGBoost,NRMSE,0.14272606475235208,420
Random Forest__Regime Acc High,XGBoost,MAE,0.053064534321760636,424
Random Forest__Regime Acc High,XGBoost,R2,0.00953483009527371,424
XGBoost__Bias,Persistence,NRMSE,-0.011953044723024909,944
XGBoost__Bias,Persistence,MAE,-0.16341363183662566,950
XGBoost__Bias,Persistence,R2,-0.05302590999060651,950
XGBoost__Bias,Random Forest,NRMSE,-0.005515092518185994,944
XGBoost__Bias,Random Forest,MAE,-0.5884515823438802,950
XGBoost__Bias,Random Forest,R2,-0.04387778976975735,950
XGBoost__Bias,XGBoost,NRMSE,-0.0599148377952061,944
XGBoost__Bias,XGBoost,MAE,-0.6518212736212123,950
XGBoost__Bias,XGBoost,R2,0.030572878127356942,950
XGBoost__Regime Accuracy,Persistence,NRMSE,0.06186310992918038,944
XGBoost__Regime Accuracy,Persistence,MAE,-0.1341397292289285,950
XGBoost__Regime Accuracy,Persistence,R2,-0.04969515064525696,950
XGBoost__Regime Accuracy,Random Forest,NRMSE,0.1068803784757222,944
XGBoost__Regime Accuracy,Random Forest,MAE,0.00448030985058469,950
XGBoost__Regime Accuracy,Random Forest,R2,-0.08394892032746398,950
XGBoost__Regime Accuracy,XGBoost,NRMSE,0.039214464652422475,944
XGBoost__Regime Accuracy,XGBoost,MAE,-0.03127758677682086,950
XGBoost__Regime Accuracy,XGBoost,R2,-0.052336681826694355,950
