state,district,rows,rank_1,rank_1_R2,rank_2,rank_2_R2,rank_3,rank_3_R2
Jammu & Kashmir,Reasi,486,XGBoost,1.0044903337018285,Random Forest,0.0,Persistence,-1.061748490573788
Jammu & Kashmir,SAMBA,486,XGBoost,1.5478917203143636,Random Forest,0.0,Persistence,-1.017326244334224
Jammu & Kashmir,SRINAGAR,369,XGBoost,0.3261078885259283,Random Forest,0.0,Persistence,-0.5825343409539161
Jammu & Kashmir,UDHAMPUR,486,XGBoost,0.0965082047389377,Random Forest,0.0,Persistence,-0.1160825213490375
Jharkhand,BOKARO,486,XGBoost,0.5140326784052603,Random Forest,0.0,Persistence,-4.773183403316489
Jharkhand,CHATRA,486,XGBoost,1.6166928018558988,Random Forest,0.0,Persistence,-3.0713803075291484
Jharkhand,DEOGHAR,486,XGBoost,0.5844785209797594,Random Forest,0.0,Persistence,-0.1786022745792568
Jharkhand,EAST  SINGHBHUM (Jamshedpur),486,XGBoost,0.7730531242473845,Random Forest,0.0,Persistence,-0.4829254749091192
Jharkhand,GUMLA,486,XGBoost,0.6533535109727224,Random Forest,0.0,Persistence,-1.80517960063555
Jharkhand,PALAMAU,486,XGBoost,0.6593608437441905,Random Forest,0.0,Persistence,-0.177654721128079
Jharkhand,RAMGARH,486,XGBoost,0.1056964659234009,Random Forest,0.0,Persistence,-0.2121286524540553
Jharkhand,RANCHI,486,XGBoost,0.3112009663595541,Random Forest,0.0,Persistence,-0.4329417614951956
Jharkhand,WEST SINGHBHUM (Chaibasa),486,Random Forest,1.0,XGBoost,0.4243089326003093,Persistence,-0.2036925107548981
Karnataka,Bagalkote,486,XGBoost,0.849309178350819,Random Forest,0.0,Persistence,-0.1879945577104258
Karnataka,Ballari,486,Random Forest,1.0,XGBoost,0.8654427803687655,Persistence,-1.1972899728997175
Karnataka,Bangalore Rural,486,XGBoost,1.4036197234545726,Random Forest,0.0,Persistence,-26.90481942963801
Karnataka,Bangalore Urban,486,Random Forest,1.0,XGBoost,0.9809449625561786,Persistence,-17.36624953115574
Karnataka,Belgaum,486,XGBoost,0.9337392397481876,Random Forest,0.0,Persistence,-2.6981943587857686
Karnataka,Bidar,486,XGBoost,0.592007210681742,Random Forest,0.0,Persistence,-4.22802446092934
Karnataka,Bijapur,486,Random Forest,1.0,XGBoost,0.6438380659716352,Persistence,-0.0417734664278099
Karnataka,Chamarajanagara,486,XGBoost,0.0202604913430355,Random Forest,0.0,Persistence,-2.0872444212325623
Karnataka,Chikkamagaluru,486,XGBoost,0.7861398976819179,Random Forest,0.0,Persistence,-0.9244853408494298
Karnataka,Chitradurga,486,XGBoost,0.0481443360469664,Random Forest,0.0,Persistence,-1.6877143789387152
Karnataka,Dakshin Kannada,486,XGBoost,0.4081432414112559,Random Forest,0.0,Persistence,-3.141025463471508
Karnataka,Dharwad,486,XGBoost,0.3853798591033561,Random Forest,0.0,Persistence,-0.2586844477025138
Karnataka,Gadag,486,XGBoost,0.8973292203805029,Random Forest,0.0,Persistence,-1.3453766235709463
Karnataka,Hassan,486,Random Forest,1.0,XGBoost,0.4687294307336426,Persistence,-1.1016876375984062
Karnataka,Haveri,486,XGBoost,0.452318369339745,Random Forest,0.0,Persistence,-0.1464891051651891
Karnataka,Kodagu,486,XGBoost,0.613927014768558,Random Forest,0.0,Persistence,-0.990302232966018
Karnataka,Kolar,486,Random Forest,1.0,XGBoost,0.8771660941735575,Persistence,-2.877854912161766
Karnataka,Koppal,486,XGBoost,0.3253463340015167,Random Forest,0.0,Persistence,-0.2390482334265589
Karnataka,Mandya,486,XGBoost,0.0512250911031599,Random Forest,0.0,Persistence,-3.188300611623755
Karnataka,Mysore,486,XGBoost,0.0906159682060651,Random Forest,0.0,Persistence,-6.158260453701791
Karnataka,Raichur,486,XGBoost,0.5135120752317507,Random Forest,0.0,Persistence,-1.6566023943453103
Karnataka,Shivamogga,486,XGBoost,1.0241679611353982,Random Forest,1.0,Persistence,-2.739394453716535
Karnataka,Tumkur,486,Random Forest,1.0,XGBoost,0.8468816162459882,Persistence,-1.6715460424299518
Karnataka,Udupi,486,XGBoost,0.0489974163873173,Random Forest,0.0,Persistence,-1.324376604550002
Karnataka,Uttara Kannada,486,XGBoost,1.0048940833634248,Random Forest,1.0,Persistence,-0.4409553619424946
Karnataka,Yadgir,486,XGBoost,0.962479748966516,Random Forest,0.0,Persistence,-2.9637880750337176
Kerala,Alappuzha,486,Random Forest,1.0,XGBoost,0.4306115680542279,Persistence,-0.7650784385751046
Kerala,ERNAKULAM,486,XGBoost,0.3273616007850345,Random Forest,0.0,Persistence,-0.1940038789997697
Kerala,IDUKKI,486,XGBoost,0.7211595042779889,Random Forest,0.0,Persistence,-0.0085475689606497
Kerala,KANNUR,486,XGBoost,0.0718557986706382,Random Forest,0.0,Persistence,-1.0385871329432326
Kerala,KASARAGOD,486,XGBoost,0.0319806333770464,Random Forest,0.0,Persistence,-2.474638498466577
Kerala,KOTTAYAM,486,XGBoost,0.3186619387797459,Random Forest,0.0,Persistence,-1.1141079537116196
Kerala,KOZHIKODE,486,XGBoost,1.0287627254888454,Random Forest,1.0,Persistence,-7.345030972519956
