state,district,IF__anomaly_density,IF__anomaly_count,rows
Odisha,NAYAGARH,0.242798353909465,118.0,486
Odisha,NUAPADA,0.1625514403292181,79.0,486
Odisha,Nabarangapur,0.1872427983539094,91.0,486
Odisha,PURI,0.0411522633744856,20.0,486
Odisha,RAYAGADA,0.2119341563786008,103.0,486
Puducherry,Karaikal,0.1069958847736625,52.0,486
Puducherry,Puducherry,0.0761316872427983,37.0,486
Punjab,AMRITSAR,0.1355013550135501,50.0,369
Punjab,BARNALA,0.0609418282548476,22.0,361
Punjab,BATHINDA,0.1181318681318681,43.0,364
Punjab,FARIDKOT,0.0422535211267605,15.0,355
Punjab,FATEHGARH SAHIB,0.0562130177514792,19.0,338
Punjab,FAZILKA,0.1424657534246575,52.0,365
Punjab,FEROZEPUR,0.2417582417582417,88.0,364
Punjab,GURDASPUR,0.1169354838709677,29.0,248
Punjab,HOSHIARPUR,0.2343324250681198,86.0,367
Punjab,JALANDHAR,0.0677083333333333,13.0,192
Punjab,KAPURTHALA,0.1123287671232876,41.0,365
Punjab,MUKATSAR,0.1481481481481481,72.0,486
Punjab,PATIALA,0.191358024691358,93.0,486
Punjab,ROPAR,0.2456896551724137,57.0,232
Punjab,SANGRUR,0.1487603305785124,54.0,363
Punjab,SAS NAGAR,0.0410958904109589,18.0,438
Punjab,SBS NAGAR,0.056910569105691,21.0,369
Punjab,TARN TARAN,0.2407407407407407,117.0,486
Rajasthan,AJMER,0.1831275720164609,89.0,486
Rajasthan,ALWAR,0.0946502057613168,46.0,486
Rajasthan,BANSWARA,0.1936842105263158,92.0,475
Rajasthan,BHARATPUR,0.1687242798353909,82.0,486
Rajasthan,BHILWARA,0.2345679012345679,114.0,486
Rajasthan,BIKANER,0.1625514403292181,79.0,486
Rajasthan,BUNDI,0.0773195876288659,30.0,388
Rajasthan,CHITTORGARH,0.0411522633744856,20.0,486
Rajasthan,CHURU,0.1872427983539094,91.0,486
Rajasthan,DAUSA,0.242798353909465,118.0,486
Rajasthan,DHOLPUR,0.1090534979423868,53.0,486
Rajasthan,DUNGARPUR,0.0411522633744856,20.0,486
Rajasthan,GANGANAGAR,0.228395061728395,111.0,486
Rajasthan,HANUMANGARH,0.0617283950617283,30.0,486
Rajasthan,JAIPUR,0.1431535269709543,69.0,482
Rajasthan,JAISALMER,0.2325102880658436,113.0,486
Rajasthan,JALORE,0.0946502057613168,46.0,486
Rajasthan,JHALAWAR,0.2329896907216495,113.0,485
Rajasthan,JHUNJHUNU,0.1435185185185185,62.0,432
Rajasthan,JODHPUR,0.1748971193415638,85.0,486
Rajasthan,KARAULI,0.099273607748184,41.0,413
Rajasthan,KOTA,0.1683168316831683,17.0,101
Rajasthan,NAGAUR,0.2408602150537634,112.0,465
Rajasthan,PALI,0.1760869565217391,81.0,460
Rajasthan,RAJSAMAND,0.242798353909465,118.0,486
Rajasthan,SAWAI MADHOPUR,0.0404255319148936,19.0,470
Rajasthan,SIKAR,0.2325102880658436,113.0,486
Rajasthan,SIROHI,0.1872427983539094,91.0,486
Tamil Nadu,Ariyalur,0.0411522633744856,20.0,486
Tamil Nadu,Chengalpattu,0.0452674897119341,22.0,486
Tamil Nadu,Chennai,0.0699588477366255,34.0,486
Tamil Nadu,Coimbatore,0.1234567901234567,60.0,486
Tamil Nadu,Cuddalore,0.0576131687242798,28.0,486
Tamil Nadu,Dharmapuri,0.0658436213991769,32.0,486
Tamil Nadu,Dindigul,0.1666666666666666,81.0,486
Tamil Nadu,Erode,0.0843621399176954,41.0,486
Tamil Nadu,Kancheepuram,0.0720164609053498,35.0,486
Tamil Nadu,Kanyakumari,0.1202672605790645,54.0,449
Tamil Nadu,Karur,0.2098765432098765,102.0,486
Tamil Nadu,Krishnagiri,0.0411522633744856,20.0,486
Tamil Nadu,Madurai,0.1872427983539094,91.0,486
Tamil Nadu,Nagapattinam,0.1131687242798353,55.0,486
Tamil Nadu,Namakkal,0.2386831275720164,116.0,486
Tamil Nadu,Nilgiris,0.242798353909465,118.0,486
Tamil Nadu,Perambalur,0.0411522633744856,20.0,486
Tamil Nadu,Pudukkottai,0.1604938271604938,78.0,486
Tamil Nadu,Ramanathapuram,0.0411522633744856,20.0,486
Tamil Nadu,Ranipet,0.2263374485596707,110.0,486
Tamil Nadu,Salem,0.2325102880658436,113.0,486
Tamil Nadu,Sivaganga,0.242798353909465,118.0,486
Tamil Nadu,Tenkasi,0.0576131687242798,28.0,486
Tamil Nadu,Thanjavur,0.0679012345679012,33.0,486
Tamil Nadu,Theni,0.2016460905349794,98.0,486
Tamil Nadu,Thiruvannamalai,0.0411522633744856,20.0,486
Tamil Nadu,Thoothukudi,0.1563786008230452,76.0,486
Tamil Nadu,Tiruchirappalli,0.242798353909465,118.0,486
Tamil Nadu,Tirunelveli,0.0617283950617283,30.0,486
Tamil Nadu,Tirupathur,0.0411522633744856,20.0,486
Tamil Nadu,Tiruppur,0.1131687242798353,55.0,486
Tamil Nadu,Tiruvallur,0.2407407407407407,117.0,486
Tamil Nadu,Tiruvannamalai,0.191358024691358,93.0,486
Tamil Nadu,Tiruvarur,0.1584362139917695,77.0,486
Tamil Nadu,Tuticorin,0.242798353909465,118.0,486
Tamil Nadu,Vellore,0.1872427983539094,91.0,486
